cname,Value,Value_change,NBSAP,NBSAP_Lag_5,NBSAP_Lag_10,wdi_gdpcapcur,wdi_gdpcapgr,income_group,wdi_pop,wdi_popden,wb_region,fao_luagr,fao_luagrcrop,fao_lucrop,fh_fog,dr_ig,year_ind,start_value,pr_protected,KBA_protected,indig_pcnt,island,wdi_gini,ccodealp,fao_luforest,wdi_empagr,total_change
Afghanistan,0.837,-0.0010000000000000009,0,0,0,0.01835327752372022,NA,LIC,21.000256,32.19762353770909,South Asia,0.57939999,0.20610001,0.11939999999999999,NA,0,0,0.837,0.036372566,0,NA,0,NA,AFG,1.85,64.08779,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.02004623759260259,0.9270291284912132,LIC,22.64513,34.7195467856431,South Asia,0.58080002,0.20809999,0.1209,NA,0.013334398161818549,1,0.837,0.036372566,0,NA,0,NA,AFG,1.85,63.34015,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.02216576620929203,-2.497254638767927,LIC,23.553551,36.112339205495,South Asia,0.58150002,0.209,0.1216,NA,0.05335096546981304,2,0.837,0.036372566,0,NA,0,NA,AFG,1.85,63.05186,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.02550551070954832,7.321873841146413,LIC,24.411191,37.42727412109225,South Asia,0.58130001,0.20879999000000002,0.12140000000000001,0.25,0.08975988407501923,3,0.837,0.036372566,0,NA,0,NA,AFG,1.85,61.81535,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.02740006556909464,1.084988200682062,LIC,25.442944,39.00915934562961,South Asia,0.58119999,0.20870001,0.1213,0.3333333333333333,0.09325282934143582,4,0.837,0.036372566,0,NA,0,NA,AFG,1.85,61.01674,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.037507826147254994,11.80338266482977,LIC,25.903301,39.71497937844012,South Asia,0.58130001,0.20870001,0.1213,0.3333333333333333,0.1045346191791941,5,0.837,0.036372566,0,NA,0,NA,AFG,1.85,59.61623,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.038784928809783056,1.864754465709467,LIC,26.427199,40.51822056636463,South Asia,0.58130001,0.20879999000000002,0.12140000000000001,0.25,0.13494150919318582,6,0.837,0.036372566,0,NA,0,NA,AFG,1.85,58.90637,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.04438451505363317,17.14353432516856,LIC,27.385307,41.98719316805421,South Asia,0.58130001,0.20879999000000002,0.12140000000000001,0.08333333333333333,0.13987892918112987,7,0.837,0.036372566,0.0582,NA,0,NA,AFG,1.85,56.27216,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.05545947346178796,11.09921991662193,LIC,28.189672,43.22044677491069,South Asia,0.58130001,0.20879999000000002,0.12140000000000001,0.08333333333333333,0.16384452636580896,8,0.837,0.036372566,0.0582,NA,0,NA,AFG,1.85,53.78926,-0.0020000000000000018
Afghanistan,0.837,0,0,0,0,0.062191241381430756,-3.211364295678351,LIC,29.249157,44.84485074283612,South Asia,0.58130001,0.20879999000000002,0.12140000000000001,0.08333333333333333,0.18749266893472932,9,0.837,0.036372566,0.0582,NA,0,NA,AFG,1.85,52.67994,-0.0020000000000000018
