Entity,Code,Year,Terrestrial protected areas (% of total land area)
Afghanistan,AFG,2016,0.1
Afghanistan,AFG,2017,0.10470703
Afghanistan,AFG,2018,0.10470703
Afghanistan,AFG,2019,0.104707
Afghanistan,AFG,2020,3.637257
Afghanistan,AFG,2021,3.6372566
Afghanistan,AFG,2022,3.6372566
Albania,ALB,2016,17.21
Albania,ALB,2017,17.736095
Albania,ALB,2018,17.736095
Albania,ALB,2019,18.58981
Albania,ALB,2020,18.58981
Albania,ALB,2021,18.59157
Albania,ALB,2022,18.591568
Algeria,DZA,2016,7.5
Algeria,DZA,2017,7.49506
Algeria,DZA,2018,7.49506
Algeria,DZA,2019,7.495019
Algeria,DZA,2020,4.640436
Algeria,DZA,2021,4.640436
Algeria,DZA,2022,4.640436
American Samoa,ASM,2016,4.27
American Samoa,ASM,2017,15.847745
American Samoa,ASM,2018,15.847745
American Samoa,ASM,2019,15.84774
American Samoa,ASM,2020,0.844952
American Samoa,ASM,2021,15.847867
American Samoa,ASM,2022,15.847867
Andorra,AND,2016,21.19
Andorra,AND,2017,26.727724
Andorra,AND,2018,26.727724
Andorra,AND,2019,26.72772
Andorra,AND,2020,26.72772
Andorra,AND,2021,26.857265
Andorra,AND,2022,26.857265
Angola,AGO,2016,6.97
Angola,AGO,2017,6.9714265
Angola,AGO,2018,6.9714265
Angola,AGO,2019,6.971426
Angola,AGO,2020,6.971426
Angola,AGO,2021,6.9714265
Angola,AGO,2022,6.9714265
Antigua and Barbuda,ATG,2016,19.33
Antigua and Barbuda,ATG,2017,18.569674
Antigua and Barbuda,ATG,2018,18.569674
Antigua and Barbuda,ATG,2019,18.56967
Antigua and Barbuda,ATG,2020,21.00285
Antigua and Barbuda,ATG,2021,19.937443
Antigua and Barbuda,ATG,2022,19.937443
Argentina,ARG,2016,8.89
Argentina,ARG,2017,8.808251
Argentina,ARG,2018,8.808251
Argentina,ARG,2019,8.469773
Argentina,ARG,2020,8.476902
Argentina,ARG,2021,8.476902
Argentina,ARG,2022,8.6915
Armenia,ARM,2016,23.11
Armenia,ARM,2017,23.110502
Armenia,ARM,2018,23.110502
Armenia,ARM,2019,24.3054
Armenia,ARM,2020,24.3054
Armenia,ARM,2021,24.305405
Armenia,ARM,2022,24.681017
Aruba,ABW,2016,0.53
Aruba,ABW,2017,18.917576
Aruba,ABW,2018,18.917576
Aruba,ABW,2019,18.91758
Aruba,ABW,2020,18.91758
Aruba,ABW,2021,18.917576
Aruba,ABW,2022,18.917576
Australia,AUS,2016,16.98
Australia,AUS,2017,19.265623
Australia,AUS,2018,19.265623
Australia,AUS,2019,19.26562
Australia,AUS,2020,20.33876
Australia,AUS,2021,20.36292
Australia,AUS,2022,20.36292
Austria,AUT,2016,28.44
Austria,AUT,2017,28.397982
Austria,AUT,2018,28.397982
Austria,AUT,2019,28.41688
Austria,AUT,2020,29.09432
Austria,AUT,2021,29.283329
Austria,AUT,2022,29.500467
Azerbaijan,AZE,2016,10.15
Azerbaijan,AZE,2017,10.155126
Azerbaijan,AZE,2018,10.155126
Azerbaijan,AZE,2019,10.15513
Azerbaijan,AZE,2020,10.15513
Azerbaijan,AZE,2021,10.155126
Azerbaijan,AZE,2022,10.155126
Bahamas,BHS,2016,31.2
Bahamas,BHS,2017,36.633648
Bahamas,BHS,2018,36.633648
Bahamas,BHS,2019,36.63365
Bahamas,BHS,2020,36.63365
Bahamas,BHS,2021,36.633648
Bahamas,BHS,2022,36.633648
Bahrain,BHR,2016,6.7
Bahrain,BHR,2017,6.621748
Bahrain,BHR,2018,6.621748
Bahrain,BHR,2019,6.621748
Bahrain,BHR,2020,6.621748
Bahrain,BHR,2021,6.621748
Bahrain,BHR,2022,12.956454
Bangladesh,BGD,2016,4.61
Bangladesh,BGD,2017,4.6059628
Bangladesh,BGD,2018,4.6059628
Bangladesh,BGD,2019,4.605963
Bangladesh,BGD,2020,4.605963
Bangladesh,BGD,2021,4.6059628
Bangladesh,BGD,2022,4.6059628
Barbados,BRB,2016,1.35
Barbados,BRB,2017,1.2701082
Barbados,BRB,2018,1.2701082
Barbados,BRB,2019,1.270108
Barbados,BRB,2020,1.270108
Barbados,BRB,2021,1.2701082
Barbados,BRB,2022,1.2701082
Belarus,BLR,2016,9.51
Belarus,BLR,2017,9.353494
Belarus,BLR,2018,9.353494
Belarus,BLR,2019,9.353494
Belarus,BLR,2020,9.353494
Belarus,BLR,2021,13.842987
Belarus,BLR,2022,13.842987
Belgium,BEL,2016,23.21
Belgium,BEL,2017,23.293343
Belgium,BEL,2018,23.293343
Belgium,BEL,2019,24.91416
Belgium,BEL,2020,15.42513
Belgium,BEL,2021,15.490143
Belgium,BEL,2022,15.554585
Belize,BLZ,2016,37.68
Belize,BLZ,2017,37.679367
Belize,BLZ,2018,37.679367
Belize,BLZ,2019,37.67917
Belize,BLZ,2020,37.54658
Belize,BLZ,2021,37.54658
Belize,BLZ,2022,37.54658
Benin,BEN,2016,28.87
Benin,BEN,2017,29.623371
Benin,BEN,2018,29.623371
Benin,BEN,2019,29.60411
Benin,BEN,2020,29.60462
Benin,BEN,2021,29.643326
Benin,BEN,2022,29.643326
Bermuda,BMU,2016,5.52
Bermuda,BMU,2017,2.079919
Bermuda,BMU,2018,2.079919
Bermuda,BMU,2019,2.079919
Bermuda,BMU,2020,2.079919
Bermuda,BMU,2021,2.079919
Bermuda,BMU,2022,2.079919
Bhutan,BTN,2016,48.01
Bhutan,BTN,2017,48.00785
Bhutan,BTN,2018,48.00785
Bhutan,BTN,2019,48.00785
Bhutan,BTN,2020,49.66933
Bhutan,BTN,2021,49.669334
Bhutan,BTN,2022,49.669334
Bolivia,BOL,2016,30.87
Bolivia,BOL,2017,30.865492
Bolivia,BOL,2018,30.865492
Bolivia,BOL,2019,30.86557
Bolivia,BOL,2020,30.86557
Bolivia,BOL,2021,30.865568
Bolivia,BOL,2022,30.865568
Bosnia and Herzegovina,BIH,2016,1.45
Bosnia and Herzegovina,BIH,2017,1.3955016
Bosnia and Herzegovina,BIH,2018,1.3955016
Bosnia and Herzegovina,BIH,2019,1.395502
Bosnia and Herzegovina,BIH,2020,3.626755
Bosnia and Herzegovina,BIH,2021,3.9716449
Bosnia and Herzegovina,BIH,2022,4.0636635
Botswana,BWA,2016,29.14
Botswana,BWA,2017,29.143238
Botswana,BWA,2018,29.143238
Botswana,BWA,2019,29.14326
Botswana,BWA,2020,29.14326
Botswana,BWA,2021,29.143257
Botswana,BWA,2022,29.143257
